id;date;title;description;description_scan;description_scan_content_type
1;2019-09-19;navigate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;2019-09-18;calculating withdrawal Nevada;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;2019-09-19;turn-key dedicated;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;2019-09-19;Strategist target;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;2019-09-18;withdrawal cross-platform Borders;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;2019-09-19;Cambridgeshire white sensor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;2019-09-19;Shoes deposit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;2019-09-19;Applications Response Human;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;2019-09-19;Automotive Tactics architectures;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;2019-09-18;Strategist SDD;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
