id;name;unit;min_good_value;max_good_value;min_bad_value;max_bad_value
1;mobile Fish;Home Loan Account Table Computer;5808;45924;86617;33370
2;Metal deposit;Producer;83244;93855;21233;77
3;Officer;methodology Albania;43194;2306;29122;52477
4;enable Gorgeous Frozen Pants;Common;78517;61838;19967;38246
5;Planner Canyon;Credit Card Account Table Small Frozen Sausages;96563;56328;80839;38541
6;Music;Nakfa;44015;68326;12203;60999
7;backing up Salad;Digitized invoice;31171;42515;52006;20794
8;Georgia Industrial;connect Markets Chief;59789;72727;92187;32654
9;Georgia;Tasty Plastic Pizza scale;27134;53969;82873;58675
10;Specialist Home Loan Account;Plastic;80219;16526;7455;1563
