id;name;indication;leaflet;leaflet_content_type
1;disintermediate Cambridgeshire hacking;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;bricks-and-clicks Concrete Global;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;Fiji Dollar Profound Bacon;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;Macao Equatorial Guinea Vision-oriented;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;Agent;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;Human deposit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;even-keeled Saint Helena Pound;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;Internal AI optical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;bypassing Marketing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;Dynamic Home Loan Account Tools;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
