id;date;title;description;description_scan;description_scan_content_type
1;2019-09-18;User-centric;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;2019-09-19;neutral Salad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;2019-09-18;virtual deposit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;2019-09-18;digital maroon;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;2019-09-18;Ghana back-end National;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;2019-09-19;Gorgeous Profit-focused synergies;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;2019-09-18;SQL Games;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;2019-09-19;supply-chains magenta;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;2019-09-19;24/7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;2019-09-18;conglomeration;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
